航线,船名,货种,装货港,卸货港,预计离港,预计到港,航程,状态,吨位
西澳黑德兰-青岛前湾,致远号,铁矿石,黑德兰港,青岛前湾港,2026-08-15,2026-08-28,13天,在港待装,170000
巴西桑托斯-天津,远望号,大豆,桑托斯港,天津港,2026-08-05,2026-09-20,46天,航行中,65000
印尼塔巴尼奥-湛江,远航号,动力煤,塔巴尼奥港,湛江港,2026-08-10,2026-08-18,8天,装货中,55000
西澳丹皮尔-日照岚山,远洋号,铁矿石,丹皮尔港,日照岚山港,2026-08-18,2026-08-31,13天,待装,180000
巴西图巴朗-宁波舟山,远山号,铁矿石,图巴朗港,宁波舟山港,2026-08-12,2026-09-27,46天,航行中,200000
澳大利亚纽卡斯尔-广州黄埔,远海号,动力煤,纽卡斯尔港,广州黄埔港,2026-08-20,2026-09-03,14天,待装,75000
印尼萨马林达-上海罗泾,远达号,动力煤,萨马林达港,上海罗泾港,2026-08-14,2026-08-23,9天,装货中,45000
阿根廷罗萨里奥-大连,远顺号,大豆,罗萨里奥港,大连港,2026-08-08,2026-09-28,51天,航行中,68000
美国新奥尔良-厦门,远通号,玉米,新奥尔良港,厦门港,2026-08-10,2026-09-15,36天,航行中,62000
几内亚博凯-烟台,远拓号,铝土矿,博凯港,烟台港,2026-08-16,2026-09-30,45天,待装,120000
